TIME_STEP,Free Chlorine,Conductivity,pH,Temperature,TOC,Turbidity
06/08/2007 16:30,2,44.2156,9.50684,15.0286,0.6363979,0.205332
06/08/2007 16:35,2,44.234697,9.5064208,15.023201,0.636556,0.208513
06/08/2007 16:40,1.99,44.221999,9.5051699,15.0292,0.639248,0.204238
06/08/2007 16:45,1.99,44.228301,9.5042802,15.0165,0.619222,0.205008
06/08/2007 16:50,1.99,44.2283,9.5036197,15.0219,0.6333109,0.2073539
06/08/2007 16:55,1.99,44.215602,9.49881,15.0318,0.612731,0.211572
06/08/2007 17:00,2,44.240998,9.500971,15.059799,0.6435219,0.205396
06/08/2007 17:05,2,53.0638,9.43561,15.0671,0.6522289,0.202059
06/08/2007 17:10,2,53.438903,9.4456599,15.1802,0.6729669,0.1890589
06/08/2007 17:15,2.02,50.3433,9.4580998,15.1449,0.6963179,0.19191
06/08/2007 17:20,2.02,46.605604,9.4855292,15.101701,0.648746,0.198045
06/08/2007 17:25,2.02,44.228301,9.49425,15.0667,0.657849,0.199232
06/08/2007 17:30,2.02,44.222003,9.4986291,15.0448,0.6516749,0.201274
06/08/2007 17:35,2.03,44.215601,9.4988808,15.031801,0.6437599,0.203557
06/08/2007 17:40,2.03,44.241,9.49963,15.0178,0.6345779,0.196724
06/08/2007 17:45,2.03,44.240997,9.4987498,15.0118,0.646451,0.197955
06/08/2007 17:50,2.03,43.4719,9.4996994,15.0016,0.651437,0.2007439
06/08/2007 17:55,2.03,43.478299,9.5032596,15.0267,0.6513579,0.197897
06/08/2007 18:00,1.99,43.471903,9.5032209,15.0331,0.629512,0.196179
06/08/2007 18:05,2.02,43.4783,9.4981401,15.0188,0.628799,0.197262
06/08/2007 18:10,2,43.478298,9.5020993,15.005701,0.6325989,0.1992669
06/08/2007 18:15,2.01,43.4783,9.4981398,15.0013,0.634103,0.197034
06/08/2007 18:20,2.01,43.4783,9.4971207,14.984701,0.6413849,0.1978709
06/08/2007 18:25,2.02,43.4783,9.4952304,14.9847,0.6328359,0.197769
06/08/2007 18:30,2.01,43.4783,9.4942098,14.9851,0.6504079,0.195501
06/08/2007 18:35,2.01,43.478297,9.4886704,14.980301,0.641939,0.198273
06/08/2007 18:40,2.01,43.4783,9.4987892,14.9743,0.634736,0.1984499
06/08/2007 18:45,2.01,43.471901,9.4986303,14.9841,0.651833,0.198795
06/08/2007 18:50,2.02,43.471901,9.49114,14.987,0.642968,0.195985
06/08/2007 18:55,2.01,43.4783,9.4981201,15.0064,0.64281,0.193798
06/08/2007 19:00,2.02,43.4783,9.50384,15.014,0.6470839,0.197367
06/08/2007 19:05,2.02,43.4783,9.5086502,14.9901,0.6612519,0.1970079
06/08/2007 19:10,2.02,43.465502,9.5068408,14.980601,0.6622809,0.1979869
06/08/2007 19:15,2.02,43.4783,9.5046395,14.9727,0.6447889,0.1961239
06/08/2007 19:20,2.02,43.4783,9.5039296,14.951699,0.645184,0.197509
06/08/2007 19:25,2.02,43.471901,9.4988104,14.9469,0.651675,0.199174
06/08/2007 19:30,2.02,43.4783,9.49888,14.9453,0.655316,0.196124
06/08/2007 19:35,2.02,43.471903,9.4907105,14.941201,0.6559489,0.195962
06/08/2007 19:40,2.02,43.4783,9.4879102,14.9425,0.643047,0.19491
06/08/2007 19:45,2.02,43.4783,9.4892703,14.9463,0.6371899,0.194091
06/08/2007 19:50,2.02,42.715503,9.4948694,14.950099,0.615897,0.1960599
06/08/2007 19:55,2.02,41.9527,9.5057098,14.954899,0.614552,0.195901
06/08/2007 20:00,2.02,41.9527,9.5044,14.9488,0.6284039,0.196292
06/08/2007 20:05,2,42.7155,9.4969408,14.920201,0.612573,0.1982559
06/08/2007 20:10,2.03,42.728199,9.5057992,14.905901,0.655633,0.196185
